Country,Code,Year,Life_expectancy,Predicted
Central African Republic,CAF,2000,44.19,False
Central African Republic,CAF,2001,44.06100000000001,False
Central African Republic,CAF,2002,44.063,False
Central African Republic,CAF,2003,44.181999999999995,False
Central African Republic,CAF,2004,44.413000000000004,False
Central African Republic,CAF,2005,44.744,False
Central African Republic,CAF,2006,45.158,False
Central African Republic,CAF,2007,45.636,False
Central African Republic,CAF,2008,46.161,False
Central African Republic,CAF,2009,46.718999999999994,False
Central African Republic,CAF,2010,47.312,False
Central African Republic,CAF,2011,47.95,False
Central African Republic,CAF,2012,48.638000000000005,False
Central African Republic,CAF,2013,49.371,False
Central African Republic,CAF,2014,50.129,False
Central African Republic,CAF,2015,50.881,False
Central African Republic,CAF,2016,51.593,False
Central African Republic,CAF,2017,52.24,False
Central African Republic,CAF,2018,52.805,False
Central African Republic,CAF,2019,53.283,False
Central African Republic,CAF,2020,53.678999999999995,False
Central African Republic,CAF,2020,53.678999999999995,True
Central African Republic,CAF,2020,53.678999999999995,False
Central African Republic,CAF,2020,53.678999999999995,True
Central African Republic,CAF,2021,54.01,True
Central African Republic,CAF,2022,54.306000000000004,True
Central African Republic,CAF,2023,54.592,True
Central African Republic,CAF,2024,54.88,True
Central African Republic,CAF,2025,55.178999999999995,True
Central African Republic,CAF,2026,55.488,True
Central African Republic,CAF,2027,55.798,True
Central African Republic,CAF,2028,56.105,True
Central African Republic,CAF,2029,56.407,True
Central African Republic,CAF,2030,56.70399999999999,True
Central African Republic,CAF,2031,56.997,True
Central African Republic,CAF,2032,57.285,True
Central African Republic,CAF,2033,57.568999999999996,True
Central African Republic,CAF,2034,57.847,True
Central African Republic,CAF,2035,58.121,True
Central African Republic,CAF,2036,58.391000000000005,True
Central African Republic,CAF,2037,58.656000000000006,True
Central African Republic,CAF,2038,58.916000000000004,True
Central African Republic,CAF,2039,59.172,True
Central African Republic,CAF,2040,59.422,True
Central African Republic,CAF,2041,59.668,True
Central African Republic,CAF,2042,59.907,True
Central African Republic,CAF,2043,60.141000000000005,True
Central African Republic,CAF,2044,60.369,True
Central African Republic,CAF,2045,60.592,True
Central African Republic,CAF,2046,60.81,True
Central African Republic,CAF,2047,61.023999999999994,True
Central African Republic,CAF,2048,61.233999999999995,True
Central African Republic,CAF,2049,61.43899999999999,True
Central African Republic,CAF,2050,61.641999999999996,True
Central African Republic,CAF,2051,61.84,True
Central African Republic,CAF,2052,62.035,True
Central African Republic,CAF,2053,62.225,True
Central African Republic,CAF,2054,62.412,True
Central African Republic,CAF,2055,62.595,True
Central African Republic,CAF,2056,62.775,True
Central African Republic,CAF,2057,62.951,True
Central African Republic,CAF,2058,63.125,True
Central African Republic,CAF,2059,63.29600000000001,True
Central African Republic,CAF,2060,63.464,True
Central African Republic,CAF,2061,63.629,True
Central African Republic,CAF,2062,63.791000000000004,True
Central African Republic,CAF,2063,63.951,True
Central African Republic,CAF,2064,64.108,True
Central African Republic,CAF,2065,64.262,True
Central African Republic,CAF,2066,64.413,True
Central African Republic,CAF,2067,64.561,True
Central African Republic,CAF,2068,64.705,True
Central African Republic,CAF,2069,64.846,True
Central African Republic,CAF,2070,64.985,True
Central African Republic,CAF,2071,65.123,True
Central African Republic,CAF,2072,65.259,True
Central African Republic,CAF,2073,65.395,True
Central African Republic,CAF,2074,65.53,True
Central African Republic,CAF,2075,65.664,True
Central African Republic,CAF,2076,65.798,True
Central African Republic,CAF,2077,65.93,True
Central African Republic,CAF,2078,66.06,True
Central African Republic,CAF,2079,66.189,True
Central African Republic,CAF,2080,66.316,True
Central African Republic,CAF,2081,66.441,True
Central African Republic,CAF,2082,66.564,True
Central African Republic,CAF,2083,66.685,True
Central African Republic,CAF,2084,66.805,True
Central African Republic,CAF,2085,66.923,True
Central African Republic,CAF,2086,67.041,True
Central African Republic,CAF,2087,67.158,True
Central African Republic,CAF,2088,67.273,True
Central African Republic,CAF,2089,67.389,True
Central African Republic,CAF,2090,67.503,True
Central African Republic,CAF,2091,67.617,True
Central African Republic,CAF,2092,67.73100000000001,True
Central African Republic,CAF,2093,67.844,True
Central African Republic,CAF,2094,67.956,True
Central African Republic,CAF,2095,68.067,True
Central African Republic,CAF,2096,68.178,True
Central African Republic,CAF,2097,68.288,True
Central African Republic,CAF,2098,68.39699999999999,True
Central African Republic,CAF,2099,68.505,True
