Country,Code,Year,Life_expectancy,Predicted
France,FRA,2000,79.008,False
France,FRA,2001,79.24600000000001,False
France,FRA,2002,79.49600000000001,False
France,FRA,2003,79.755,False
France,FRA,2004,80.021,False
France,FRA,2005,80.291,False
France,FRA,2006,80.558,False
France,FRA,2007,80.819,False
France,FRA,2008,81.067,False
France,FRA,2009,81.29899999999999,False
France,FRA,2010,81.508,False
France,FRA,2011,81.692,False
France,FRA,2012,81.852,False
France,FRA,2013,81.992,False
France,FRA,2014,82.11399999999999,False
France,FRA,2015,82.22399999999999,False
France,FRA,2016,82.32799999999999,False
France,FRA,2017,82.432,False
France,FRA,2018,82.541,False
France,FRA,2019,82.65899999999999,False
France,FRA,2020,82.78399999999999,False
France,FRA,2020,82.78399999999999,True
France,FRA,2021,82.916,True
France,FRA,2022,83.05,True
France,FRA,2023,83.18299999999999,True
France,FRA,2024,83.315,True
France,FRA,2025,83.445,True
France,FRA,2026,83.57600000000001,True
France,FRA,2027,83.708,True
France,FRA,2028,83.84200000000001,True
France,FRA,2029,83.978,True
France,FRA,2030,84.115,True
France,FRA,2031,84.25200000000001,True
France,FRA,2032,84.387,True
France,FRA,2033,84.51799999999999,True
France,FRA,2034,84.646,True
France,FRA,2035,84.771,True
France,FRA,2036,84.891,True
France,FRA,2037,85.009,True
France,FRA,2038,85.125,True
France,FRA,2039,85.241,True
France,FRA,2040,85.35600000000001,True
France,FRA,2041,85.471,True
France,FRA,2042,85.587,True
France,FRA,2043,85.70299999999999,True
France,FRA,2044,85.82,True
France,FRA,2045,85.93799999999999,True
France,FRA,2046,86.056,True
France,FRA,2047,86.17399999999999,True
France,FRA,2048,86.291,True
France,FRA,2049,86.40700000000001,True
France,FRA,2050,86.523,True
France,FRA,2051,86.637,True
France,FRA,2052,86.751,True
France,FRA,2053,86.86399999999999,True
France,FRA,2054,86.976,True
France,FRA,2055,87.088,True
France,FRA,2056,87.199,True
France,FRA,2057,87.311,True
France,FRA,2058,87.42299999999999,True
France,FRA,2059,87.535,True
France,FRA,2060,87.648,True
France,FRA,2061,87.76100000000001,True
France,FRA,2062,87.875,True
France,FRA,2063,87.98899999999999,True
France,FRA,2064,88.102,True
France,FRA,2065,88.21600000000001,True
France,FRA,2066,88.32799999999999,True
France,FRA,2067,88.44,True
France,FRA,2068,88.55,True
France,FRA,2069,88.66,True
France,FRA,2070,88.76899999999999,True
France,FRA,2071,88.87799999999999,True
France,FRA,2072,88.98700000000001,True
France,FRA,2073,89.09700000000001,True
France,FRA,2074,89.208,True
France,FRA,2075,89.32,True
France,FRA,2076,89.432,True
France,FRA,2077,89.545,True
France,FRA,2078,89.65799999999999,True
France,FRA,2079,89.77,True
France,FRA,2080,89.882,True
France,FRA,2081,89.993,True
France,FRA,2082,90.103,True
France,FRA,2083,90.213,True
France,FRA,2084,90.322,True
France,FRA,2085,90.431,True
France,FRA,2086,90.54,True
France,FRA,2087,90.65,True
France,FRA,2088,90.76,True
France,FRA,2089,90.87,True
France,FRA,2090,90.98100000000001,True
France,FRA,2091,91.09200000000001,True
France,FRA,2092,91.20299999999999,True
France,FRA,2093,91.314,True
France,FRA,2094,91.42399999999999,True
France,FRA,2095,91.53299999999999,True
France,FRA,2096,91.64200000000001,True
France,FRA,2097,91.75,True
France,FRA,2098,91.85700000000001,True
France,FRA,2099,91.964,True
