Country,Code,Year,Life_expectancy,Predicted
Hong Kong,HKG,2000,80.76,False
Hong Kong,HKG,2001,81.038,False
Hong Kong,HKG,2002,81.291,False
Hong Kong,HKG,2003,81.52600000000001,False
Hong Kong,HKG,2004,81.74600000000001,False
Hong Kong,HKG,2005,81.95299999999999,False
Hong Kong,HKG,2006,82.15,False
Hong Kong,HKG,2007,82.339,False
Hong Kong,HKG,2008,82.525,False
Hong Kong,HKG,2009,82.711,False
Hong Kong,HKG,2010,82.90299999999999,False
Hong Kong,HKG,2011,83.109,False
Hong Kong,HKG,2012,83.329,False
Hong Kong,HKG,2013,83.56,False
Hong Kong,HKG,2014,83.801,False
Hong Kong,HKG,2015,84.04299999999999,False
Hong Kong,HKG,2016,84.277,False
Hong Kong,HKG,2017,84.493,False
Hong Kong,HKG,2018,84.68700000000001,False
Hong Kong,HKG,2019,84.85700000000001,False
Hong Kong,HKG,2020,85.00299999999999,False
Hong Kong,HKG,2020,85.00299999999999,True
Hong Kong,HKG,2020,85.00299999999999,False
Hong Kong,HKG,2020,85.00299999999999,True
Hong Kong,HKG,2021,85.132,True
Hong Kong,HKG,2022,85.25200000000001,True
Hong Kong,HKG,2023,85.37,True
Hong Kong,HKG,2024,85.49,True
Hong Kong,HKG,2025,85.615,True
Hong Kong,HKG,2026,85.744,True
Hong Kong,HKG,2027,85.876,True
Hong Kong,HKG,2028,86.008,True
Hong Kong,HKG,2029,86.141,True
Hong Kong,HKG,2030,86.274,True
Hong Kong,HKG,2031,86.40700000000001,True
Hong Kong,HKG,2032,86.541,True
Hong Kong,HKG,2033,86.67399999999999,True
Hong Kong,HKG,2034,86.80799999999999,True
Hong Kong,HKG,2035,86.941,True
Hong Kong,HKG,2036,87.074,True
Hong Kong,HKG,2037,87.20700000000001,True
Hong Kong,HKG,2038,87.34,True
Hong Kong,HKG,2039,87.47200000000001,True
Hong Kong,HKG,2040,87.605,True
Hong Kong,HKG,2041,87.73700000000001,True
Hong Kong,HKG,2042,87.869,True
Hong Kong,HKG,2043,88,True
Hong Kong,HKG,2044,88.131,True
Hong Kong,HKG,2045,88.262,True
Hong Kong,HKG,2046,88.39200000000001,True
Hong Kong,HKG,2047,88.521,True
Hong Kong,HKG,2048,88.65,True
Hong Kong,HKG,2049,88.77799999999999,True
Hong Kong,HKG,2050,88.905,True
Hong Kong,HKG,2051,89.031,True
Hong Kong,HKG,2052,89.156,True
Hong Kong,HKG,2053,89.281,True
Hong Kong,HKG,2054,89.404,True
Hong Kong,HKG,2055,89.52600000000001,True
Hong Kong,HKG,2056,89.647,True
Hong Kong,HKG,2057,89.76700000000001,True
Hong Kong,HKG,2058,89.88600000000001,True
Hong Kong,HKG,2059,90.00399999999999,True
Hong Kong,HKG,2060,90.12100000000001,True
Hong Kong,HKG,2061,90.236,True
Hong Kong,HKG,2062,90.35,True
Hong Kong,HKG,2063,90.463,True
Hong Kong,HKG,2064,90.575,True
Hong Kong,HKG,2065,90.686,True
Hong Kong,HKG,2066,90.796,True
Hong Kong,HKG,2067,90.904,True
Hong Kong,HKG,2068,91.01100000000001,True
Hong Kong,HKG,2069,91.117,True
Hong Kong,HKG,2070,91.221,True
Hong Kong,HKG,2071,91.324,True
Hong Kong,HKG,2072,91.427,True
Hong Kong,HKG,2073,91.52799999999999,True
Hong Kong,HKG,2074,91.62899999999999,True
Hong Kong,HKG,2075,91.729,True
Hong Kong,HKG,2076,91.82799999999999,True
Hong Kong,HKG,2077,91.927,True
Hong Kong,HKG,2078,92.02600000000001,True
Hong Kong,HKG,2079,92.125,True
Hong Kong,HKG,2080,92.22399999999999,True
Hong Kong,HKG,2081,92.322,True
Hong Kong,HKG,2082,92.421,True
Hong Kong,HKG,2083,92.52,True
Hong Kong,HKG,2084,92.619,True
Hong Kong,HKG,2085,92.719,True
Hong Kong,HKG,2086,92.818,True
Hong Kong,HKG,2087,92.91799999999999,True
Hong Kong,HKG,2088,93.01899999999999,True
Hong Kong,HKG,2089,93.12100000000001,True
Hong Kong,HKG,2090,93.223,True
Hong Kong,HKG,2091,93.32600000000001,True
Hong Kong,HKG,2092,93.429,True
Hong Kong,HKG,2093,93.53399999999999,True
Hong Kong,HKG,2094,93.639,True
Hong Kong,HKG,2095,93.745,True
Hong Kong,HKG,2096,93.852,True
Hong Kong,HKG,2097,93.96,True
Hong Kong,HKG,2098,94.069,True
Hong Kong,HKG,2099,94.178,True
