Country,Code,Male_expectancy,Women_expectancy,Total_population,Continent
Afghanistan,AFG,63.382,66.388,38042000,Asia
Albania,ALB,77.002,80.20100000000001,2881000,Europe
Algeria,DZA,75.676,78.133,43053000,Africa
Angola,AGO,58.416000000000004,64.039,31825000,Africa
Antigua and Barbuda,ATG,75.858,78.104,97000,North America
Argentina,ARG,73.242,79.995,44781000,South America
Armenia,ARM,71.327,78.516,2958000,Asia
Aruba,ABW,73.768,78.641,106000,North America
Australia,AUS,81.492,85.40299999999999,25203000,Oceania
Austria,AUT,79.169,83.866,8955000,Europe
Azerbaijan,AZE,70.51100000000001,75.455,10048000,Asia
Bahamas,BHS,71.65899999999999,76.081,389000,North America
Bahrain,BHR,76.436,78.423,1641000,Asia
Bangladesh,BGD,70.877,74.595,163046000,Asia
Barbados,BRB,77.814,80.482,287000,North America
Belarus,BLR,69.652,79.572,9452000,Europe
Belgium,BEL,79.32,83.882,11539000,Europe
Belize,BLZ,71.65,77.843,390000,North America
Benin,BEN,60.201,63.324,11801000,Africa
Bhutan,BTN,71.405,72.176,763000,Asia
Bolivia,BOL,68.684,74.508,11513000,South America
Bosnia and Herzegovina,BIH,74.893,79.857,3301000,Europe
Botswana,BWA,66.485,72.38600000000001,2304000,Africa
Brazil,BRA,72.243,79.555,211050000,South America
Brunei,BRN,74.72800000000001,77.10600000000001,433000,Asia
Bulgaria,BGR,71.55,78.665,7000000,Europe
Burkina Faso,BFA,60.739,62.294,20321000,Africa
Burundi,BDI,59.763999999999996,63.376999999999995,11531000,Africa
Cambodia,KHM,67.538,71.90899999999999,16487000,Asia
Cameroon,CMR,58.028999999999996,60.56100000000001,25876000,Africa
Canada,CAN,80.447,84.391,37411000,North America
Cape Verde,CPV,69.52600000000001,76.197,550000,Africa
Central African Republic,CAF,51.081,55.513999999999996,4745000,Africa
Chad,TCD,52.835,55.669,15947000,Africa
Channel Islands,OWID_CIS,81.173,84.915,172000,Europe
Chile,CHL,77.771,82.44200000000001,18952000,South America
China,CHN,74.76100000000001,79.244,1433784064,Asia
Colombia,COL,74.528,80.01899999999999,50339000,South America
Comoros,COM,62.586999999999996,66.12100000000001,851000,Africa
Congo,COG,63.082,66.023,5381000,Africa
Costa Rica,CRI,77.73899999999999,82.89299999999999,5048000,North America
Cote d'Ivoire,CIV,56.593,59.119,25717000,Africa
Croatia,HRV,75.296,81.59,4130000,Europe
Cuba,CUB,76.84,80.779,11333000,North America
Curacao,CUW,75.775,81.63,163000,South America
Cyprus,CYP,78.921,83.03200000000001,1199000,Asia
Czech Republic,CZE,76.76,81.944,10689000,Europe
Democratic Republic of Congo,COD,59.147,62.233000000000004,86791000,Africa
Denmark,DNK,78.946,82.865,5772000,Europe
Djibouti,DJI,65.116,69.357,974000,Africa
Dominican Republic,DOM,70.991,77.381,10739000,North America
Ecuador,ECU,74.282,79.83800000000001,17374000,South America
Egypt,EGY,69.742,74.35,100388000,Africa
El Salvador,SLV,68.455,77.842,6454000,North America
Equatorial Guinea,GNQ,57.743,59.918,1356000,Africa
Eritrea,ERI,64.153,68.555,3497000,Africa
Estonia,EST,74.358,82.711,1326000,Europe
Ethiopia,ETH,64.694,68.536,112079000,Africa
Fiji,FJI,65.69800000000001,69.331,890000,Oceania
Finland,FIN,79.09100000000001,84.71799999999999,5532000,Europe
France,FRA,79.71600000000001,85.486,65130000,Europe
French Guiana,GUF,77.013,83.064,291000,South America
French Polynesia,PYF,75.612,79.898,279000,Oceania
Gabon,GAB,64.382,68.669,2173000,Africa
Gambia,GMB,60.656000000000006,63.481,2348000,Africa
Georgia,GEO,69.34899999999999,78.14,3997000,Asia
Germany,DEU,78.944,83.728,83517000,Europe
Ghana,GHA,62.99100000000001,65.17699999999999,30418000,Africa
Greece,GRC,79.803,84.67200000000001,10473000,Europe
Grenada,GRD,70.07300000000001,74.953,112000,North America
Guadeloupe,GLP,78.468,85.479,400000,North America
Guam,GUM,76.828,83.55,167000,Oceania
Guatemala,GTM,71.382,77.15100000000001,17581000,North America
Guinea,GIN,60.855,62.117,12771000,Africa
Guinea-Bissau,GNB,56.305,60.213,1921000,Africa
Guyana,GUY,66.92699999999999,73.095,783000,South America
Haiti,HTI,61.831,66.182,11263000,North America
Honduras,HND,72.96,77.551,9746000,North America
Hong Kong,HKG,81.971,87.74700000000001,7436000,Asia
Hungary,HUN,73.244,80.289,9685000,Europe
Iceland,ISL,81.502,84.485,339000,Europe
India,IND,68.464,70.95,1366418048,Asia
Indonesia,IDN,69.572,73.967,270625984,Asia
Iran,IRN,75.593,77.885,82914000,Asia
Iraq,IRQ,68.565,72.652,39310000,Asia
Ireland,IRL,80.667,83.90899999999999,4882000,Europe
Israel,ISR,81.331,84.505,8519000,Asia
Italy,ITA,81.325,85.539,60550000,Europe
Jamaica,JAM,72.868,76.118,2948000,North America
Japan,JPN,81.497,87.669,126860000,Asia
Jordan,JOR,72.839,76.306,10102000,Asia
Kazakhstan,KAZ,69.23,77.669,18551000,Asia
Kenya,KEN,64.313,69.04899999999999,52574000,Africa
Kiribati,KIR,64.248,72.342,118000,Oceania
Kuwait,KWT,74.76,76.58,4207000,Asia
Kyrgyzstan,KGZ,67.437,75.60300000000001,6416000,Asia
Laos,LAO,66.142,69.74600000000001,7169000,Asia
Latvia,LVA,70.233,80.012,1907000,Europe
Lebanon,LBN,77.14,80.869,6856000,Asia
Lesotho,LSO,51.201,57.58,2125000,Africa
Liberia,LBR,62.715,65.497,4937000,Africa
Libya,LBY,70.097,75.95100000000001,6777000,Africa
Lithuania,LTU,70.294,81.37100000000001,2760000,Europe
Luxembourg,LUX,80.157,84.346,616000,Europe
Macao,MAC,81.281,87.179,640000,Asia
Macedonia,MKD,73.794,77.846,2083000,Europe
