Country,Code,Male_expectancy,Women_expectancy,Continent
Afghanistan,AFG,63.708,66.744,Asia
Albania,ALB,77.163,80.256,Europe
Algeria,DZA,75.857,78.321,Africa
Angola,AGO,58.744,64.383,Africa
Antigua and Barbuda,ATG,75.984,78.232,North America
Argentina,ARG,73.405,80.122,South America
Armenia,ARM,71.453,78.652,Asia
Aruba,ABW,73.908,78.774,North America
Australia,AUS,81.666,85.524,Oceania
Austria,AUT,79.35,83.945,Europe
Azerbaijan,AZE,70.63,75.574,Asia
Bahamas,BHS,71.78,76.22800000000001,North America
Bahrain,BHR,76.559,78.557,Asia
Bangladesh,BGD,71.13,74.893,Asia
Barbados,BRB,77.958,80.579,North America
Belarus,BLR,69.85,79.688,Europe
Belgium,BEL,79.516,84.007,Europe
Belize,BLZ,71.756,77.991,North America
Benin,BEN,60.494,63.646,Africa
Bhutan,BTN,71.673,72.524,Asia
Bolivia,BOL,68.92699999999999,74.78,South America
Bosnia and Herzegovina,BIH,75.048,79.991,Europe
Botswana,BWA,66.665,72.604,Africa
Brazil,BRA,72.46300000000001,79.736,South America
Brunei,BRN,74.859,77.256,Asia
Bulgaria,BGR,71.68,78.78,Europe
Burkina Faso,BFA,61.119,62.724,Africa
Burundi,BDI,60.086000000000006,63.721000000000004,Africa
Cambodia,KHM,67.748,72.163,Asia
Cameroon,CMR,58.354,60.903999999999996,Africa
Canada,CAN,80.627,84.48100000000001,North America
Cape Verde,CPV,69.721,76.384,Africa
Central African Republic,CAF,51.45399999999999,55.931999999999995,Africa
Chad,TCD,53.093,55.945,Africa
Channel Islands,OWID_CIS,81.367,85.031,Europe
Chile,CHL,77.99,82.522,South America
China,CHN,74.953,79.411,Asia
Colombia,COL,74.72,80.173,South America
Comoros,COM,62.775,66.34100000000001,Africa
Congo,COG,63.291000000000004,66.28699999999999,Africa
Costa Rica,CRI,77.95100000000001,83.045,North America
Cote d'Ivoire,CIV,56.897,59.455,Africa
Croatia,HRV,75.471,81.71600000000001,Europe
Cuba,CUB,76.935,80.862,North America
Curacao,CUW,75.954,81.757
Cyprus,CYP,79.10300000000001,83.15100000000001,Asia
Czech Republic,CZE,76.942,82.05799999999999,Europe
Democratic Republic of Congo,COD,59.42,62.54,Africa
Denmark,DNK,79.097,82.97200000000001,Europe
Djibouti,DJI,65.467,69.766,Africa
Dominican Republic,DOM,71.168,77.54899999999999,North America
Ecuador,ECU,74.50399999999999,80.023,South America
Egypt,EGY,69.883,74.53,Africa
El Salvador,SLV,68.685,78.03699999999999,North America
Equatorial Guinea,GNQ,58.056000000000004,60.25,Africa
Eritrea,ERI,64.49600000000001,68.92399999999999,Africa
Estonia,EST,74.569,82.83,Europe
Ethiopia,ETH,65.036,68.905,Africa
Fiji,FJI,65.767,69.498,Oceania
Finland,FIN,79.30199999999999,84.848,Europe
France,FRA,79.885,85.569,Europe
French Guiana,GUF,77.211,83.132,South America
French Polynesia,PYF,75.807,80.058,Oceania
Gabon,GAB,64.577,68.931,Africa
Gambia,GMB,60.968999999999994,63.827,Africa
Georgia,GEO,69.508,78.273,Asia
Germany,DEU,79.127,83.84899999999999,Europe
Ghana,GHA,63.238,65.477,Africa
Greece,GRC,80.008,84.796,Europe
Grenada,GRD,70.097,74.984,North America
Guadeloupe,GLP,78.684,85.633,North America
Guam,GUM,77.054,83.705,Oceania
Guatemala,GTM,71.623,77.365,North America
Guinea,GIN,61.18,62.507,Africa
Guinea-Bissau,GNB,56.62,60.523999999999994,Africa
Guyana,GUY,67.042,73.219,South America
Haiti,HTI,62.133,66.506,North America
Honduras,HND,73.142,77.723,North America
Hong Kong,HKG,82.11399999999999,87.889,Asia
Hungary,HUN,73.415,80.42699999999999,Europe
Iceland,ISL,81.676,84.601,Europe
India,IND,68.678,71.202,Asia
