Country,Code,Year,Total_population,Health_expenditure,Life_expectancy,Continent
Albania,ALB,1995,3113000,196.53778549,72.205,Europe
Albania,ALB,2014,2896000,614.53594606,77.963,Europe
Algeria,DZA,1995,28758000,252.76942406,68.115,Africa
Algeria,DZA,2014,38924000,932.10028378,75.641,Africa
Angola,AGO,1995,13945000,91.4636206,43.125,Africa
Angola,AGO,2014,26942000,239.01023293,60.858,Africa
Argentina,ARG,1995,34828000,646.08439673,72.719,South America
Argentina,ARG,2014,42638000,1137.24342289,76.252,South America
Armenia,ARM,1995,3217000,101.52726448,68.938,Asia
Armenia,ARM,2014,2912000,362.12527877,74.255,Asia
Australia,AUS,1995,17993000,1640.93480951,77.8292682926829,Oceania
Australia,AUS,2014,23596000,4357.26078332,82.3,Oceania
Austria,AUT,1995,7990000,2249.46831607,76.6682926829268,Europe
Austria,AUT,2014,8615000,5038.8816446,81.490243902439,Europe
Azerbaijan,AZE,1995,7775000,138.65410533,65.256,Asia
Azerbaijan,AZE,2014,9506000,1047.30059776,71.8,Asia
Bangladesh,BGD,1995,115170000,33.84762153,61.868,Asia
Bangladesh,BGD,2014,154516992,88.07585743,71.803,Asia
Belarus,BLR,1995,10078000,260.12697068,68.4609756097561,Europe
Belarus,BLR,2014,9432000,1030.99241079,72.9707317073171,Europe
Belgium,BEL,1995,10186000,1713.61625094,76.8407317073171,Europe
Belgium,BEL,2014,11221000,4391.59514431,81.2878048780488,Europe
Benin,BEN,1995,5906000,47.83495731,55.203,Africa
Benin,BEN,2014,10287000,85.60836075,60.373,Africa
Bolivia,BOL,1995,7622000,111.61513711,57.862,South America
Bolivia,BOL,2014,10707000,427.41129648,68.357,South America
Bosnia and Herzegovina,BIH,1995,3829000,112.55353516,71.643,Europe
Bosnia and Herzegovina,BIH,2014,3482000,957.39697911,76.561,Europe
Botswana,BWA,1995,1469000,271.24097484,55.53,Africa
Botswana,BWA,2014,2089000,870.83699002,64.78,Africa
Brazil,BRA,1995,162020000,524.47851809,67.6,South America
Brazil,BRA,2014,202764000,1318.17208034,75.042,South America
Bulgaria,BGR,1995,8379000,290.272253,71.0534146341463,Europe
Bulgaria,BGR,2014,7246000,1398.87848798,74.4658536585366,Europe
Burkina Faso,BFA,1995,10090000,31.09321985,49.445,Africa
Burkina Faso,BFA,2014,17586000,82.30537688,59.457,Africa
Burundi,BDI,1995,5987000,32.54320045,48.86,Africa
Burundi,BDI,2014,9844000,58.01861945,56.688,Africa
Cambodia,KHM,1995,10656000,43.15394376,55.189,Asia
Cambodia,KHM,2014,15275000,183.23122805,68.251,Asia
Cameroon,CMR,1995,13600000,61.59151072,50.015,Africa
Cameroon,CMR,2014,22682000,121.9234186,57.111,Africa
Canada,CAN,1995,29164000,2076.42379435,77.9775609756098,North America
Canada,CAN,2014,35664000,4640.94649671,81.9530487804878,North America
Central African Republic,CAF,1995,3223000,22.73567414,46.252,Africa
Central African Republic,CAF,2014,4464000,24.95621963,50.621,Africa
Chad,TCD,1995,7010000,43.90132317,47.431,Africa
Chad,TCD,2014,13664000,79.01538673,52.204,Africa
Chile,CHL,1995,14381000,389.74824274,75.374,South America
Chile,CHL,2014,17759000,1749.36324082,79.117,South America
China,CHN,1995,1240920960,64.34054232,70.156,Asia
China,CHN,2014,1399453952,730.51780314,75.932,Asia
Colombia,COL,1995,36421000,415.93041136,69.428,South America
Colombia,COL,2014,46968000,961.88797029,74.022,South America
Congo,COG,1995,2708000,108.70007956,53.247,Africa
Congo,COG,2014,4737000,322.63336555,63.536,Africa
Costa Rica,CRI,1995,3546000,399.57095001,76.571,North America
Costa Rica,CRI,2014,4795000,1389.33691785,79.44,North America
Cote d'Ivoire,CIV,1995,14200000,135.86672604,49.501,Africa
Cote d'Ivoire,CIV,2014,22648000,187.0199205,52.52,Africa
Croatia,HRV,1995,4617000,548.80424121,72.0843902439024,Europe
Croatia,HRV,2014,4256000,1652.12229359,77.4780487804878,Europe
Cuba,CUB,1995,10888000,343.88303927,75.415,North America
Cuba,CUB,2014,11307000,2474.61677851,79.415,North America
Czech Republic,CZE,1995,10358000,897.5425316,73.0748780487805,Europe
Czech Republic,CZE,2014,10591000,2146.32088342,78.8243902439024,Europe
Democratic Republic of Congo,COD,1995,41576000,17.09151559,49.111,Africa
Democratic Republic of Congo,COD,2014,73767000,32.28043161,58.782,Africa
Denmark,DNK,1995,5233000,1875.16138489,75.2126829268293,Europe
Denmark,DNK,2014,5664000,4782.05951391,80.7,Europe
Dominican Republic,DOM,1995,7819000,237.60964369,69.637,North America
Dominican Republic,DOM,2014,10165000,580.32840812,73.483,North America
Ecuador,ECU,1995,11455000,191.45106056,71.217,South America
Ecuador,ECU,2014,15952000,1039.75658557,75.879,South America
Egypt,EGY,1995,62334000,181.00787946,66.789,Africa
Egypt,EGY,2014,90425000,594.11025159,71.12,Africa
