Country,Code,Year,Total_population,Health_expenditure,Life_expectancy,Continent
Albania,ALB,1995,3113000,196.53778549,72.205,Europe
Algeria,DZA,1995,28758000,252.76942406,68.115,Africa
Angola,AGO,1995,13945000,91.4636206,43.125,Africa
Argentina,ARG,1995,34828000,646.08439673,72.719,South America
Armenia,ARM,1995,3217000,101.52726448,68.938,Asia
Australia,AUS,1995,17993000,1640.93480951,77.8292682926829,Oceania
Austria,AUT,1995,7990000,2249.46831607,76.6682926829268,Europe
Azerbaijan,AZE,1995,7775000,138.65410533,65.256,Asia
Bangladesh,BGD,1995,115170000,33.84762153,61.868,Asia
Belarus,BLR,1995,10078000,260.12697068,68.4609756097561,Europe
Belgium,BEL,1995,10186000,1713.61625094,76.8407317073171,Europe
Benin,BEN,1995,5906000,47.83495731,55.203,Africa
Bolivia,BOL,1995,7622000,111.61513711,57.862,South America
Bosnia and Herzegovina,BIH,1995,3829000,112.55353516,71.643,Europe
Botswana,BWA,1995,1469000,271.24097484,55.53,Africa
Brazil,BRA,1995,162020000,524.47851809,67.6,South America
Bulgaria,BGR,1995,8379000,290.272253,71.0534146341463,Europe
Burkina Faso,BFA,1995,10090000,31.09321985,49.445,Africa
Burundi,BDI,1995,5987000,32.54320045,48.86,Africa
Cambodia,KHM,1995,10656000,43.15394376,55.189,Asia
Cameroon,CMR,1995,13600000,61.59151072,50.015,Africa
Canada,CAN,1995,29164000,2076.42379435,77.9775609756098,North America
Central African Republic,CAF,1995,3223000,22.73567414,46.252,Africa
Chad,TCD,1995,7010000,43.90132317,47.431,Africa
Chile,CHL,1995,14381000,389.74824274,75.374,South America
China,CHN,1995,1240920960,64.34054232,70.156,Asia
Colombia,COL,1995,36421000,415.93041136,69.428,South America
Congo,COG,1995,2708000,108.70007956,53.247,Africa
Costa Rica,CRI,1995,3546000,399.57095001,76.571,North America
Cote d'Ivoire,CIV,1995,14200000,135.86672604,49.501,Africa
Croatia,HRV,1995,4617000,548.80424121,72.0843902439024,Europe
Cuba,CUB,1995,10888000,343.88303927,75.415,North America
Czech Republic,CZE,1995,10358000,897.5425316,73.0748780487805,Europe
Democratic Republic of Congo,COD,1995,41576000,17.09151559,49.111,Africa
Denmark,DNK,1995,5233000,1875.16138489,75.2126829268293,Europe
Dominican Republic,DOM,1995,7819000,237.60964369,69.637,North America
Ecuador,ECU,1995,11455000,191.45106056,71.217,South America
Egypt,EGY,1995,62334000,181.00787946,66.789,Africa
El Salvador,SLV,1995,5629000,267.31110503,67.27,North America
Eritrea,ERI,1995,2204000,51.09138134,52.311,Africa
Estonia,EST,1995,1433000,396.93215947,67.5439024390244,Europe
Ethiopia,ETH,1995,57048000,12.40728922,49.305,Africa
Finland,FIN,1995,5119000,1480.08882908,76.409512195122,Europe
