Country,Code,Year,Total_population,Health_expenditure,Life_expectancy,Continent
Canada,CAN,2014,35664000,4640.94649671,81.9530487804878,North America
United States,USA,2014,318672992,9402.53697133,78.8414634146341,North America
Panama,PAN,2014,3901000,1676.95228529,77.61,North America
Uruguay,URY,2014,3400000,1792.18097303,77.19,South America
Chile,CHL,2014,17759000,1749.36324082,79.117,South America
Ecuador,ECU,2014,15952000,1039.75658557,75.879,South America
Israel,ISR,2014,7854000,2599.13225388,82.1536585365854,Asia
Malaysia,MYS,2014,29867000,1040.23279265,74.976,Asia
Japan,JPN,2014,128169000,3726.67637444,83.5878048780488,Asia
New Zealand,NZL,2014,4568000,4018.30781878,81.4048780487805,Oceania
Australia,AUS,2014,23596000,4357.26078332,82.3,Oceania
Papua New Guinea,PNG,2014,7947000,109.48832119,65.23,Oceania
Norway,NOR,2014,5142000,6346.61546337,82.1,Europe
Italy,ITA,2014,60410000,3238.88900053,83.090243902439,Europe
Ireland,IRL,2014,4627000,3801.06423038,81.3487804878049,Europe
Sierra Leone,SLE,2014,7017000,223.74445178,50.951,Africa
Rwanda,RWA,2014,11084000,125.06543321,66.188,Africa
Madagascar,MDG,2014,23590000,43.70476778,65.133,Africa
